sample,type,density
pelagic,Inside,0
pelagic,Inside,0.45490822
pelagic,Inside,0.007176175
pelagic,Inside,0.08747698
pelagic,Inside,0.051165435
pelagic,Inside,0.247550284
pelagic,Inside,0.010330579
pelagic,Inside,1.197352587
pelagic,Inside,0.077669903
pelagic,Inside,0.003338898
pelagic,Inside,0.083393764
pelagic,Inside,0.082682591
pelagic,Inside,0.002645503
pelagic,Inside,0.006613757
pelagic,Inside,0.006151953
pelagic,Inside,0.047052997
pelagic,Inside,0.134989201
pelagic,Inside,0.136897001
pelagic,Inside,0.099885845
pelagic,Inside,0.050785973
pelagic,Inside,6.510121457
pelagic,Inside,2.830896138
pelagic,Inside,0.565552699
pelagic,Inside,0.005597537
pelagic,Inside,0.373455132
pelagic,Inside,0.895522388
pelagic,Inside,0
pelagic,Inside,0
pelagic,Inside,0
pelagic,Inside,0.025258904
pelagic,Inside,0.025542784
pelagic,Inside,0.02422285
pelagic,Inside,0.050023821
pelagic,Inside,0.010179844
pelagic,Inside,0.006544503
pelagic,Inside,0.354378819
pelagic,Inside,0.195791935
pelagic,Inside,0.038062284
pelagic,Inside,0.002985075
pelagic,Inside,0.007163324
pelagic,Inside,0.01025641
pelagic,Inside,0
pelagic,Inside,0.020026702
pelagic,Inside,0.006035003
pelagic,Inside,0.012915725
pelagic,Inside,0.00905428
pelagic,Inside,0.009217723
pelagic,Inside,0.0007373
pelagic,Inside,0.000418655
pelagic,Inside,0.003402775
pelagic,Inside,0.016129032
pelagic,Inside,0.005325648
pelagic,Inside,0.110896497
pelagic,Inside,0.051230649
pelagic,Inside,0.026268702
pelagic,Inside,0.187704495
pelagic,Inside,2.131877023
pelagic,Inside,0.421607378
pelagic,Inside,0.229050279
pelagic,Inside,2.96460177
pelagic,Inside,0.603349392
pelagic,Inside,0.037507213
pelagic,Inside,0
pelagic,Outside,0
pelagic,Outside,0.052264808
pelagic,Outside,0
pelagic,Outside,0
pelagic,Outside,0.049443758
pelagic,Outside,0
pelagic,Outside,0.025180988
pelagic,Outside,0.018744142
pelagic,Outside,0.066056911
pelagic,Outside,0
pelagic,Outside,0
pelagic,Outside,0.057821059
pelagic,Outside,0
pelagic,Outside,0.007549069
pelagic,Outside,0
pelagic,Outside,0.005162623
pelagic,Outside,0.003624502
pelagic,Outside,0.004280822
pelagic,Outside,0
pelagic,Outside,0.003874467
pelagic,Outside,0
pelagic,Outside,0.003653635
pelagic,Outside,0
pelagic,Outside,0
pelagic,Outside,0.001498389
pelagic,Outside,0
pelagic,Outside,0.002284409
pelagic,Outside,0
pelagic,Outside,0.000906235
pelagic,Outside,0
pelagic,Outside,0.074682599
pelagic,Outside,0.012583893
pelagic,Outside,0.00550055
pelagic,Outside,0.011046672
pelagic,Outside,0.03018716
pelagic,Outside,0.005891016
pelagic,Outside,0
reef,Inside,0.429936306
reef,Inside,0.524075552
reef,Inside,0.078937926
reef,Inside,0.188766114
reef,Inside,0.110858442
reef,Inside,0.453842187
reef,Inside,0.196280992
reef,Inside,0.824308063
reef,Inside,0.944983819
reef,Inside,0.173622705
reef,Inside,0.050761421
reef,Inside,0.137804318
reef,Inside,0.060846561
reef,Inside,0.297619048
reef,Inside,0.043063673
reef,Inside,0.430906389
reef,Inside,0.572354212
reef,Inside,0.084745763
reef,Inside,0.33390411
reef,Inside,0.224909311
reef,Inside,2.712550607
reef,Inside,0.704911886
reef,Inside,0.034275921
reef,Inside,0.282675623
reef,Inside,0.09940892
reef,Inside,0.683122847
reef,Inside,0.01285347
reef,Inside,0.027909573
reef,Inside,0.005830904
reef,Inside,0.121242738
reef,Inside,0.326947637
reef,Inside,0.004037142
reef,Inside,0.042877561
reef,Inside,0.637936885
reef,Inside,0.081806283
reef,Inside,0.67209776
reef,Inside,0.420806546
reef,Inside,0.076124567
reef,Inside,0.005970149
reef,Inside,0.032234957
reef,Inside,0.188034188
reef,Inside,0.014480162
reef,Inside,0
reef,Inside,0.006035003
reef,Inside,0.009686794
reef,Inside,0.04391326
reef,Inside,0.003687089
reef,Inside,0.0051611
reef,Inside,0.005442519
reef,Inside,0.019282393
reef,Inside,0.039170507
reef,Inside,0.008771655
reef,Inside,0.112228587
reef,Inside,0.08055834
reef,Inside,0.021319526
reef,Inside,0.108489754
reef,Inside,0.335760518
reef,Inside,0.243741765
reef,Inside,0.156424581
reef,Inside,0.978367748
reef,Inside,0.153704978
reef,Inside,0.049047894
reef,Inside,0
reef,Outside,0.016330974
reef,Outside,0.12195122
reef,Outside,0.080405003
reef,Outside,0.028145229
reef,Outside,0.074165637
reef,Outside,0.261437908
reef,Outside,0.003147624
reef,Outside,0.520149953
reef,Outside,0.414126016
reef,Outside,0.056148231
reef,Outside,0.176125245
reef,Outside,0.021302495
reef,Outside,0
reef,Outside,0.052843483
reef,Outside,0.003810976
reef,Outside,0
reef,Outside,0.014498007
reef,Outside,0.017123288
reef,Outside,0.010526316
reef,Outside,0
reef,Outside,0
reef,Outside,0.010960906
reef,Outside,0
reef,Outside,0
reef,Outside,0.023225033
reef,Outside,0.000928203
reef,Outside,0.002284409
reef,Outside,0.002171364
reef,Outside,0.004833253
reef,Outside,0.002959981
reef,Outside,0.01867065
reef,Outside,0
reef,Outside,0.00550055
reef,Outside,0
reef,Outside,0.082511572
reef,Outside,0
reef,Outside,0
meso,Inside,0
meso,Inside,0.018621974
meso,Inside,0.003588088
meso,Inside,0
meso,Inside,0.002842524
meso,Inside,0.02062919
meso,Inside,0.005165289
meso,Inside,0.003008424
meso,Inside,0.003236246
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0.002645503
meso,Inside,0
meso,Inside,0
meso,Inside,0.007429421
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0.056680162
meso,Inside,0.007499063
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0.005051781
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0.006786563
meso,Inside,0
meso,Inside,0.016293279
meso,Inside,0.03798948
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0
meso,Inside,0.003228931
meso,Inside,0.000452714
meso,Inside,0.00122903
meso,Inside,0.0029492
meso,Inside,0.000418655
meso,Inside,0
meso,Inside,0.001152074
meso,Inside,0.004072554
meso,Inside,0.012321833
meso,Inside,0.007795968
meso,Inside,0.004949176
meso,Inside,0.00172206
meso,Inside,0.008090615
meso,Inside,0.026350461
meso,Inside,0.005586592
meso,Inside,0.004916421
meso,Inside,0.004588208
meso,Inside,0
meso,Inside,0
meso,Outside,0
meso,Outside,0
meso,Outside,0
meso,Outside,0
meso,Outside,0
meso,Outside,0.006535948
meso,Outside,0
meso,Outside,0.018744142
meso,Outside,0
meso,Outside,0.005614823
meso,Outside,0
meso,Outside,0
meso,Outside,0
meso,Outside,0.002516356
meso,Outside,0
meso,Outside,0
meso,Outside,0.007249003
meso,Outside,0.004280822
meso,Outside,0
meso,Outside,0.003874467
meso,Outside,0.004805382
meso,Outside,0
meso,Outside,0
meso,Outside,0
meso,Outside,0.000998926
meso,Outside,0.000928203
meso,Outside,0.001142204
meso,Outside,0
meso,Outside,0.000906235
meso,Outside,0
meso,Outside,0.00373413
meso,Outside,0
meso,Outside,0
meso,Outside,0.002761668
meso,Outside,0
meso,Outside,0
meso,Outside,0
unknown,Inside,0
unknown,Inside,0.103750998
unknown,Inside,0.010764263
unknown,Inside,0.036832413
unknown,Inside,0.008527572
unknown,Inside,0.082516761
unknown,Inside,0.005165289
unknown,Inside,0
unknown,Inside,0.061488673
unknown,Inside,0.020033389
unknown,Inside,0.003625816
unknown,Inside,0
unknown,Inside,0.002645503
unknown,Inside,0
unknown,Inside,0.030759766
unknown,Inside,0.056958891
unknown,Inside,0.075593952
unknown,Inside,0
unknown,Inside,0
unknown,Inside,0.004836759
unknown,Inside,0.016194332
unknown,Inside,0.007499063
unknown,Inside,0.00428449
unknown,Inside,0.033585223
unknown,Inside,0.005373455
unknown,Inside,0.080367394
unknown,Inside,0
unknown,Inside,0
unknown,Inside,0
unknown,Inside,0.020207123
unknown,Inside,0
unknown,Inside,0
unknown,Inside,0.002382087
unknown,Inside,0.02714625
unknown,Inside,0.006544503
unknown,Inside,0.065173116
unknown,Inside,0.070134424
unknown,Inside,0.003460208
unknown,Inside,0.002985075
unknown,Inside,0
unknown,Inside,0.006837607
unknown,Inside,0
unknown,Inside,0
unknown,Inside,0.012070006
unknown,Inside,0.003228931
unknown,Inside,0.001810856
unknown,Inside,0.000614515
unknown,Inside,0.0007373
unknown,Inside,0.000418655
unknown,Inside,0
unknown,Inside,0.002304147
unknown,Inside,0.000313273
unknown,Inside,0.013653923
unknown,Inside,0.001856183
unknown,Inside,0.002284235
unknown,Inside,0.013776477
unknown,Inside,0.056634304
unknown,Inside,0.036231884
unknown,Inside,0.002793296
unknown,Inside,0.044247788
unknown,Inside,0.038999771
unknown,Inside,0.034622043
unknown,Inside,0
unknown,Outside,0
unknown,Outside,0.034843206
unknown,Outside,0.014889815
unknown,Outside,0
unknown,Outside,0.018541409
unknown,Outside,0.026143791
unknown,Outside,0
unknown,Outside,0.046860356
unknown,Outside,0.017784553
unknown,Outside,0
unknown,Outside,0.013978194
unknown,Outside,0.015216068
unknown,Outside,0.005737235
unknown,Outside,0.012581782
unknown,Outside,0
unknown,Outside,0.005162623
unknown,Outside,0
unknown,Outside,0
unknown,Outside,0
unknown,Outside,0
