sample,type,density
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,5
fishsize,Inside,5
fishsize,Inside,6
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,2
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,3
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
fishsize,Inside,4
