sample,type,density
plastic,Inside_GPGP,0.18117407
plastic,Inside_GPGP,0.17552048
plastic,Inside_GPGP,0.21104821
plastic,Inside_GPGP,0.81797296
plastic,Inside_GPGP,0.47344576
plastic,Inside_GPGP,0.50474248
plastic,Inside_GPGP,0.82751155
plastic,Inside_GPGP,0.17687169
plastic,Inside_GPGP,0.1901358
plastic,Inside_GPGP,0.17769906
plastic,Inside_GPGP,0.1765092
plastic,Inside_GPGP,0.19736021
plastic,Inside_GPGP,0.18697835
plastic,Inside_GPGP,0.17788001
plastic,Inside_GPGP,0.15865978
plastic,Inside_GPGP,0.18007538
plastic,Inside_GPGP,0.15016869
plastic,Inside_GPGP,0.24491733
plastic,Inside_GPGP,0.1809286
plastic,Inside_GPGP,0.29669406
plastic,Inside_GPGP,0.27399833
plastic,Inside_GPGP,0.1703305
plastic,Inside_GPGP,0.17186944
plastic,Inside_GPGP,0.18799709
plastic,Inside_GPGP,0.15266949
plastic,Inside_GPGP,0.14182524
plastic,Inside_GPGP,0.11839482
plastic,Inside_GPGP,0.81206481
plastic,Inside_GPGP,0.79375431
plastic,Inside_GPGP,0.54286853
plastic,Inside_GPGP,0.52090998
plastic,Inside_GPGP,0.36722628
plastic,Inside_GPGP,0.28489257
plastic,Inside_GPGP,0.10021018
plastic,Inside_GPGP,0.06954415
plastic,Inside_GPGP,0.56761325
plastic,Inside_GPGP,1.12178665
plastic,Inside_GPGP,1.13103666
plastic,Inside_GPGP,1.54544363
plastic,Inside_GPGP,1.23656039
plastic,Inside_GPGP,1.34551325
plastic,Inside_GPGP,1.20501408
plastic,Inside_GPGP,1.31923122
plastic,Inside_GPGP,0.55397819
plastic,Inside_GPGP,0.70631879
plastic,Inside_GPGP,2.21391567
plastic,Inside_GPGP,2.49310391
plastic,Inside_GPGP,2.51895152
plastic,Inside_GPGP,2.38629056
plastic,Inside_GPGP,0.85368752
plastic,Inside_GPGP,1.09225869
plastic,Inside_GPGP,0.56516891
plastic,Inside_GPGP,0.67994117
plastic,Inside_GPGP,2.20539089
plastic,Inside_GPGP,2.22647629
plastic,Inside_GPGP,0.34976976
plastic,Inside_GPGP,0.34633323
plastic,Inside_GPGP,0.7137377
plastic,Inside_GPGP,0.84767704
plastic,Inside_GPGP,0.5624732
plastic,Inside_GPGP,0.49211343
plastic,Inside_GPGP,2.2476206
plastic,Inside_GPGP,2.25350788
plastic,Inside_GPGP,1.26577473
plastic,Inside_GPGP,0.60586337
plastic,Inside_GPGP,1.13470313
plastic,Inside_GPGP,1.29999145
plastic,Inside_GPGP,1.69006377
plastic,Inside_GPGP,1.22909244
plastic,Inside_GPGP,0.50152764
plastic,Inside_GPGP,0.21785426
plastic,Inside_GPGP,0.24405846
plastic,Inside_GPGP,0.16946074
plastic,Inside_GPGP,0.43980534
plastic,Inside_GPGP,0.29528119
plastic,Inside_GPGP,0.69720956
plastic,Inside_GPGP,0.38655399
plastic,Inside_GPGP,1.00932909
plastic,Inside_GPGP,0.79837632
plastic,Inside_GPGP,0.69366433
plastic,Inside_GPGP,0.82246279
plastic,Inside_GPGP,0.78143883
plastic,Inside_GPGP,0.90909386
plastic,Inside_GPGP,0.83474212
