sample,type,density
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,1
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,1
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Inside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
fish,Outside,0
