sample,type,density
plasticsize,Inside,1.083
plasticsize,Inside,0.853
plasticsize,Inside,2.135
plasticsize,Inside,0.521
plasticsize,Inside,4.645
plasticsize,Inside,0.471
plasticsize,Inside,0.359
plasticsize,Inside,0.993
plasticsize,Inside,0.43
plasticsize,Inside,0.663
plasticsize,Inside,1.204
plasticsize,Inside,1.136
plasticsize,Inside,0.859
plasticsize,Inside,0.917
plasticsize,Inside,0.694
plasticsize,Inside,0.695
plasticsize,Inside,1.422
plasticsize,Inside,0.526
plasticsize,Inside,0.765
plasticsize,Inside,0.774
plasticsize,Inside,0.852
plasticsize,Inside,0.612
plasticsize,Inside,0.994
plasticsize,Inside,2.498
plasticsize,Inside,0.641
plasticsize,Inside,0.891
plasticsize,Inside,1.662
plasticsize,Inside,2.145
plasticsize,Inside,1.083
plasticsize,Inside,3.549
plasticsize,Inside,1.294
plasticsize,Inside,0.371
plasticsize,Inside,0.873
plasticsize,Inside,1.018
plasticsize,Inside,5.716
plasticsize,Inside,0.944
plasticsize,Inside,1.107
plasticsize,Inside,2.284
plasticsize,Inside,1.099
plasticsize,Inside,1.083
plasticsize,Inside,0.301
plasticsize,Inside,1.218
plasticsize,Inside,0.793
plasticsize,Inside,0.709
plasticsize,Inside,4.388
plasticsize,Inside,1.826
plasticsize,Inside,0.816
plasticsize,Inside,0.803
plasticsize,Inside,1.357
plasticsize,Inside,0.799
plasticsize,Inside,1.786
plasticsize,Inside,1.259
plasticsize,Inside,2.672
plasticsize,Inside,1.094
plasticsize,Inside,2.473
plasticsize,Inside,1.018
plasticsize,Inside,2.219
plasticsize,Inside,0.87
plasticsize,Inside,1.657
plasticsize,Inside,0.357
plasticsize,Inside,0.999
plasticsize,Inside,2.691
plasticsize,Inside,1.251
plasticsize,Inside,1.344
plasticsize,Inside,3.09
plasticsize,Inside,1.409
plasticsize,Inside,1.451
plasticsize,Inside,1.31
plasticsize,Inside,1.198
plasticsize,Inside,2.126
plasticsize,Inside,2.276
plasticsize,Inside,1.071
plasticsize,Inside,2.687
plasticsize,Inside,4.401
plasticsize,Inside,0.901
plasticsize,Inside,2.899
plasticsize,Inside,1.233
plasticsize,Inside,1.234
plasticsize,Inside,1.523
plasticsize,Inside,1.091
plasticsize,Inside,0.394
plasticsize,Inside,3.804
plasticsize,Inside,2.761
plasticsize,Inside,2.161
plasticsize,Inside,2.528
plasticsize,Inside,2.701
plasticsize,Inside,1.437
plasticsize,Inside,5.036
plasticsize,Inside,4.187
plasticsize,Inside,1.887
plasticsize,Inside,3.058
plasticsize,Inside,1.866
plasticsize,Inside,1.886
plasticsize,Inside,2.105
plasticsize,Inside,1.185
plasticsize,Inside,0.896
plasticsize,Inside,0.862
plasticsize,Inside,1.835
plasticsize,Inside,7.387
plasticsize,Inside,1.482
plasticsize,Inside,1.645
plasticsize,Inside,1.409
plasticsize,Inside,2.449
plasticsize,Inside,6.237
plasticsize,Inside,2.208
plasticsize,Inside,1.54
plasticsize,Inside,1.241
plasticsize,Inside,1.399
plasticsize,Inside,4.501
plasticsize,Inside,1.415
plasticsize,Inside,2.173
plasticsize,Inside,8.768
plasticsize,Inside,0.978
plasticsize,Inside,4.287
plasticsize,Inside,2.388
plasticsize,Inside,3.163
plasticsize,Inside,3.652
plasticsize,Inside,2.055
plasticsize,Inside,2.317
plasticsize,Inside,2.841
plasticsize,Inside,3.538
plasticsize,Inside,2.687
plasticsize,Inside,3.314
plasticsize,Inside,0.71
plasticsize,Inside,2.791
plasticsize,Inside,2.436
plasticsize,Inside,3.907
plasticsize,Inside,5.445
plasticsize,Inside,2.749
plasticsize,Inside,1.629
plasticsize,Inside,16.416
plasticsize,Inside,3.758
plasticsize,Inside,1.993
plasticsize,Inside,2.691
plasticsize,Inside,4.253
plasticsize,Inside,3.053
plasticsize,Inside,4.206
plasticsize,Inside,0.679
plasticsize,Inside,2.359
plasticsize,Inside,3.12
plasticsize,Inside,3.254
plasticsize,Inside,2.903
plasticsize,Inside,5.066
plasticsize,Inside,4.404
plasticsize,Inside,0.566
plasticsize,Inside,1.47
plasticsize,Inside,1.759
plasticsize,Inside,3.464
plasticsize,Inside,1.709
plasticsize,Inside,3.572
plasticsize,Inside,2.895
plasticsize,Inside,3.451
plasticsize,Inside,2.247
plasticsize,Inside,1.99
plasticsize,Inside,1.182
plasticsize,Inside,0.459
plasticsize,Inside,3.227
plasticsize,Inside,2.312
plasticsize,Inside,5.474
plasticsize,Inside,0.305
plasticsize,Inside,3.805
plasticsize,Inside,0.788
plasticsize,Inside,1.246
plasticsize,Inside,3.633
plasticsize,Inside,1.547
plasticsize,Inside,2.786
plasticsize,Inside,2.366
plasticsize,Inside,7.823
plasticsize,Inside,0.409
plasticsize,Inside,3.078
plasticsize,Inside,1.827
plasticsize,Inside,1.418
plasticsize,Inside,1.954
plasticsize,Inside,2.236
plasticsize,Inside,2.547
plasticsize,Inside,0.584
plasticsize,Inside,2.602
plasticsize,Inside,1.259
plasticsize,Inside,3.499
plasticsize,Inside,2.48
plasticsize,Inside,0.64
plasticsize,Inside,3.156
plasticsize,Inside,9.435
plasticsize,Inside,0.547
plasticsize,Inside,5.296
plasticsize,Inside,3.06
plasticsize,Inside,1.927
plasticsize,Inside,1.045
plasticsize,Inside,0.536
plasticsize,Inside,7.385
plasticsize,Inside,0.737
plasticsize,Inside,1.061
plasticsize,Inside,1.186
plasticsize,Inside,1.867
plasticsize,Inside,0.576
plasticsize,Inside,2.729
plasticsize,Inside,1.678
plasticsize,Inside,1.096
plasticsize,Inside,1.011
plasticsize,Inside,0.853
plasticsize,Inside,1.279
plasticsize,Inside,3.42
plasticsize,Inside,2.145
plasticsize,Inside,1.508
plasticsize,Inside,0.519
plasticsize,Inside,2.044
plasticsize,Inside,1.492
plasticsize,Inside,2.293
plasticsize,Inside,5.38
plasticsize,Inside,0.38
plasticsize,Inside,0.865
plasticsize,Inside,5.274
plasticsize,Inside,1.523
plasticsize,Inside,0.763
plasticsize,Inside,4.541
plasticsize,Inside,3.156
plasticsize,Inside,1.574
plasticsize,Inside,0.339
plasticsize,Inside,1.495
plasticsize,Inside,0.415
plasticsize,Inside,0.727
plasticsize,Inside,0.894
plasticsize,Inside,2.396
plasticsize,Inside,0.357
plasticsize,Inside,8.705
plasticsize,Inside,1.447
plasticsize,Inside,3.402
plasticsize,Inside,0.429
plasticsize,Inside,2.549
plasticsize,Inside,0.63
plasticsize,Inside,4.62
plasticsize,Inside,1.143
plasticsize,Inside,0.69
plasticsize,Inside,0.941
plasticsize,Inside,0.758
plasticsize,Inside,0.763
plasticsize,Inside,2.211
plasticsize,Inside,1.598
plasticsize,Inside,4.608
plasticsize,Inside,0.413
plasticsize,Inside,4.16
plasticsize,Inside,0.848
plasticsize,Inside,2.601
plasticsize,Inside,2.203
plasticsize,Inside,3.008
plasticsize,Inside,1.906
plasticsize,Inside,2.678
plasticsize,Inside,0.873
plasticsize,Inside,1.562
plasticsize,Inside,2.408
plasticsize,Inside,5.32
plasticsize,Inside,2.687
plasticsize,Inside,2.593
plasticsize,Inside,4.552
plasticsize,Inside,2.626
plasticsize,Inside,1.38
plasticsize,Inside,1.006
plasticsize,Inside,0.847
plasticsize,Inside,0.403
plasticsize,Inside,0.704
plasticsize,Inside,2.845
plasticsize,Inside,4.141
plasticsize,Inside,1.44
plasticsize,Inside,0.888
plasticsize,Inside,5.592
plasticsize,Inside,0.313
plasticsize,Inside,2.223
plasticsize,Inside,3.973
plasticsize,Inside,0.882
plasticsize,Inside,2.173
plasticsize,Inside,2.625
plasticsize,Inside,16.816
plasticsize,Inside,1.08
plasticsize,Inside,1.326
plasticsize,Inside,0.775
plasticsize,Inside,1.186
plasticsize,Inside,5.007
plasticsize,Inside,0.742
plasticsize,Inside,7.689
plasticsize,Inside,0.534
plasticsize,Inside,4.294
plasticsize,Inside,9.287
plasticsize,Inside,7.656
plasticsize,Inside,0.775
plasticsize,Inside,1.096
plasticsize,Inside,0.742
plasticsize,Inside,1.6
plasticsize,Inside,2.389
plasticsize,Inside,5.455
plasticsize,Inside,1.441
plasticsize,Inside,1.596
plasticsize,Inside,5.951
plasticsize,Inside,14.099
plasticsize,Inside,5.236
plasticsize,Inside,0.896
plasticsize,Inside,1.169
plasticsize,Inside,5.011
plasticsize,Inside,1.473
plasticsize,Inside,1.43
plasticsize,Inside,0.582
plasticsize,Inside,28.283
plasticsize,Inside,1.708
plasticsize,Inside,0.36
plasticsize,Inside,0.834
plasticsize,Inside,0.661
plasticsize,Inside,0.955
plasticsize,Inside,0.484
plasticsize,Inside,2.276
plasticsize,Inside,0.569
plasticsize,Inside,1.78
plasticsize,Inside,0.739
plasticsize,Inside,0.301
plasticsize,Inside,16.215
plasticsize,Inside,2.37
plasticsize,Inside,1.604
plasticsize,Inside,0.994
plasticsize,Inside,12.776
plasticsize,Inside,2.911
plasticsize,Inside,1.348
plasticsize,Inside,6.587
plasticsize,Inside,0.366
plasticsize,Inside,1.539
plasticsize,Inside,3.973
plasticsize,Inside,1.478
plasticsize,Inside,2.475
plasticsize,Inside,1.561
plasticsize,Inside,1.777
plasticsize,Inside,1.115
plasticsize,Inside,3.467
plasticsize,Inside,1.699
plasticsize,Inside,1.712
plasticsize,Inside,0.564
plasticsize,Inside,1.154
plasticsize,Inside,0.981
plasticsize,Inside,1.029
plasticsize,Inside,2.601
plasticsize,Inside,1.493
plasticsize,Inside,2.9
plasticsize,Inside,2.201
plasticsize,Inside,5.504
plasticsize,Inside,2.784
plasticsize,Inside,1.911
plasticsize,Inside,12.105
plasticsize,Inside,2.874
plasticsize,Inside,3.559
plasticsize,Inside,1.085
plasticsize,Inside,1.473
plasticsize,Inside,1.027
plasticsize,Inside,2.326
plasticsize,Inside,2.596
plasticsize,Inside,4.124
plasticsize,Inside,12.98
plasticsize,Inside,1.12
plasticsize,Inside,1.899
plasticsize,Inside,2.695
plasticsize,Inside,3.604
plasticsize,Inside,6.44
plasticsize,Inside,3.189
plasticsize,Inside,2.173
plasticsize,Inside,2.183
plasticsize,Inside,13.658
plasticsize,Inside,2.419
plasticsize,Inside,2.291
plasticsize,Inside,3.937
plasticsize,Inside,3.124
plasticsize,Inside,2.226
plasticsize,Inside,2.274
plasticsize,Inside,2.493
plasticsize,Inside,2.784
115,Inside,5.921
115,Inside,2.834
115,Inside,6.416
115,Inside,2.075
115,Inside,2.174
115,Inside,5.001
115,Inside,3.712
115,Inside,2.25
115,Inside,1.463
115,Inside,3.324
115,Inside,1.524
115,Inside,0.537
115,Inside,0.557
122,Inside,1.333
122,Inside,3.67
122,Inside,6.572
122,Inside,18.09
122,Inside,2.277
122,Inside,0.53
122,Inside,5.926
122,Inside,2.199
122,Inside,4.329
122,Inside,1.666
122,Inside,3.734
122,Inside,5.407
122,Inside,3.014
122,Inside,0.626
122,Inside,9.748
122,Inside,2.175
122,Inside,6.45
122,Inside,1.701
122,Inside,4.638
122,Inside,1.268
129,Inside,3.413
129,Inside,4.754
129,Inside,17.742
129,Inside,1.423
129,Inside,4.262
129,Inside,14.101
129,Inside,1.883
129,Inside,1.434
129,Inside,0.662
129,Inside,5.791
143,Inside,1.512
143,Inside,7.105
143,Inside,0.681
143,Inside,2.061
143,Inside,0.399
143,Inside,4.48
143,Inside,0.366
143,Inside,1.638
143,Inside,0.31
143,Inside,0.354
143,Inside,2.981
143,Inside,1
143,Inside,10.131
143,Inside,2.094
143,Inside,1
143,Inside,3.095
143,Inside,4.11
143,Inside,4.313
143,Inside,1.2
143,Inside,1.899
143,Inside,0.885
143,Inside,1.443
143,Inside,12.595
143,Inside,1.551
143,Inside,1.538
143,Inside,3.883
143,Inside,2.566
143,Inside,2.839
143,Inside,1.063
143,Inside,1.563
143,Inside,1.477
143,Inside,1.463
143,Inside,0.966
143,Inside,0.809
143,Inside,15.143
150,Inside,1.178
150,Inside,1.252
150,Inside,2.57
