sample,type,density
plastic1mm,Inside,0.095541401
plastic1mm,Inside,0.220803405
plastic1mm,Inside,0.007176175
plastic1mm,Inside,0.004604052
plastic1mm,Inside,0.002842524
plastic1mm,Inside,0
plastic1mm,Inside,0.010330579
plastic1mm,Inside,0.006016847
plastic1mm,Inside,0
plastic1mm,Inside,0
plastic1mm,Inside,0.021164021
plastic1mm,Inside,0
plastic1mm,Inside,0
plastic1mm,Inside,0.007429421
plastic1mm,Inside,0.048596112
plastic1mm,Inside,0
plastic1mm,Inside,0
plastic1mm,Inside,0.00241838
plastic1mm,Inside,0.299595142
plastic1mm,Inside,0.108736408
plastic1mm,Inside,0
plastic1mm,Inside,0.016792611
plastic1mm,Inside,0.005373455
plastic1mm,Inside,0.045924225
plastic1mm,Inside,0
plastic1mm,Inside,0.005581915
plastic1mm,Inside,0
plastic1mm,Inside,0.030310685
plastic1mm,Inside,0
plastic1mm,Inside,0
plastic1mm,Inside,0.126250596
plastic1mm,Inside,0.05089922
plastic1mm,Inside,0.081806283
plastic1mm,Inside,73.40529532
plastic1mm,Inside,0.146113384
plastic1mm,Inside,0.031141869
plastic1mm,Inside,0.064469914
plastic1mm,Inside,0.027350427
plastic1mm,Inside,0
plastic1mm,Inside,0.005792065
plastic1mm,Inside,0.006675567
plastic1mm,Inside,0.006035003
plastic1mm,Inside,0
plastic1mm,Inside,0.125854498
plastic1mm,Inside,0.004301604
plastic1mm,Inside,0.0117968
plastic1mm,Inside,0.002930587
plastic1mm,Inside,0.310786797
plastic1mm,Inside,0
plastic1mm,Inside,0.001253094
plastic1mm,Inside,1.649460504
plastic1mm,Inside,3.488510228
plastic1mm,Inside,0.180454563
plastic1mm,Inside,3.116927846
plastic1mm,Inside,8.972491909
plastic1mm,Inside,2.341897233
plastic1mm,Inside,6.402234637
plastic1mm,Inside,5.398230088
plastic1mm,Inside,2.720807525
plastic1mm,Inside,1.064627813
plastic1mm,Outside,0.027218291
plastic1mm,Outside,0
plastic1mm,Outside,0.030902349
plastic1mm,Outside,0
plastic1mm,Outside,0
plastic1mm,Outside,0
plastic1mm,Outside,0.030881527
plastic1mm,Outside,0.002795639
plastic1mm,Outside,0.009129641
plastic1mm,Outside,0
plastic1mm,Outside,0
plastic1mm,Outside,0.007621951
plastic1mm,Outside,0.030975736
plastic1mm,Outside,0
plastic1mm,Outside,0.004280822
plastic1mm,Outside,0.049122807
plastic1mm,Outside,0.003874467
plastic1mm,Outside,0
plastic1mm,Outside,0.004805382
plastic1mm,Outside,0.003653635
plastic1mm,Outside,0
plastic1mm,Outside,0
plastic1mm,Outside,0.000499463
plastic1mm,Outside,0
plastic1mm,Outside,0.002855511
plastic1mm,Outside,0
plastic1mm,Outside,0.001208313
plastic1mm,Outside,0
plastic1mm,Outside,0.00746826
plastic1mm,Outside,0.037751678
plastic1mm,Outside,0.0330033
plastic1mm,Outside,0.104943386
plastic1mm,Outside,0.004024955
zoo1mm,Inside,93.22
zoo1mm,Inside,59.74
zoo1mm,Inside,167.38
zoo1mm,Inside,42.44
zoo1mm,Inside,324.23
zoo1mm,Inside,114.29
zoo1mm,Inside,524.46
zoo1mm,Inside,166.84
zoo1mm,Inside,2.69
zoo1mm,Inside,40.97
zoo1mm,Inside,166.9
zoo1mm,Inside,146.93
zoo1mm,Inside,409.08
zoo1mm,Inside,33.67
zoo1mm,Inside,22.55
zoo1mm,Inside,27.71
zoo1mm,Inside,20.31
zoo1mm,Inside,0
zoo1mm,Inside,358.09
zoo1mm,Inside,242.76
zoo1mm,Inside,14.03
zoo1mm,Inside,319.55
zoo1mm,Inside,316.86
zoo1mm,Inside,149.35
zoo1mm,Inside,58.16
zoo1mm,Inside,112.15
zoo1mm,Inside,10.99
zoo1mm,Inside,28.86
zoo1mm,Inside,30.5
zoo1mm,Inside,74.28
zoo1mm,Inside,66.13
zoo1mm,Inside,37.12
zoo1mm,Inside,28.68
zoo1mm,Inside,481.37
zoo1mm,Inside,200.54
zoo1mm,Inside,148.37
zoo1mm,Inside,8.02
zoo1mm,Inside,276.35
zoo1mm,Inside,67.53
zoo1mm,Inside,14.62
zoo1mm,Inside,52.18
zoo1mm,Inside,16.49
zoo1mm,Inside,79.72
zoo1mm,Inside,1.19
zoo1mm,Inside,1.66
zoo1mm,Inside,0.61
zoo1mm,Inside,0.15
zoo1mm,Inside,0.19
zoo1mm,Inside,22.12
zoo1mm,Inside,0.52
zoo1mm,Inside,1.62
zoo1mm,Inside,0.17
zoo1mm,Inside,0.31
zoo1mm,Inside,41.839
zoo1mm,Inside,23.79
zoo1mm,Inside,50.25
zoo1mm,Inside,1.97
zoo1mm,Inside,29.06
zoo1mm,Inside,44.32
zoo1mm,Inside,4.62
zoo1mm,Outside,10.85
zoo1mm,Outside,13.79
zoo1mm,Outside,166.55
zoo1mm,Outside,30.99
zoo1mm,Outside,2.83
zoo1mm,Outside,28.34
zoo1mm,Outside,7.5
zoo1mm,Outside,68.66
zoo1mm,Outside,61.25
zoo1mm,Outside,26.82
zoo1mm,Outside,102.79
zoo1mm,Outside,23.14
zoo1mm,Outside,52.81
zoo1mm,Outside,34.1
zoo1mm,Outside,121.66
zoo1mm,Outside,7.39
zoo1mm,Outside,17.33
zoo1mm,Outside,153.69
zoo1mm,Outside,184.6
zoo1mm,Outside,8.2
zoo1mm,Outside,59.72
zoo1mm,Outside,71.18
zoo1mm,Outside,0.34
zoo1mm,Outside,0.27
zoo1mm,Outside,0.04
zoo1mm,Outside,0.29
zoo1mm,Outside,0.11
zoo1mm,Outside,0.1
zoo1mm,Outside,1.14
zoo1mm,Outside,14.54
zoo1mm,Outside,3.74
zoo1mm,Outside,1.41
zoo1mm,Outside,2.68
